1,11,20,91,[(genotype: 7525115221765551015457445, frequency: 1), (genotype: 7476351317134132375455064, frequency: 1), (genotype: 7007543066715164605540267, frequency: 1)],90,000000,0,000000,0,181818
2,11,26,89,[(genotype: 7525115221765551015457445, frequency: 1), (genotype: 7476351317134132375455064, frequency: 1), (genotype: 7007543066715164605540267, frequency: 1)],92,636364,0,000000,0,181818
3,11,32,89,[(genotype: 7525115221765551015457445, frequency: 1), (genotype: 7476351317134132375455064, frequency: 1), (genotype: 7007543066715164605540267, frequency: 1)],95,272727,0,000000,0,181818
4,11,37,89,[(genotype: 7525115221765551015457445, frequency: 1), (genotype: 7476351317134132375455064, frequency: 1), (genotype: 7007543066715164605540267, frequency: 1)],98,818182,0,000000,0,181818
5,13,43,91,[(genotype: 7525115221765551015457445, frequency: 1), (genotype: 7476351317134132375455064, frequency: 1), (genotype: 7007543066715164605540267, frequency: 1)],85,846154,0,000000,0,461538
6,13,46,88,[(genotype: 7525115221765551015457445, frequency: 1), (genotype: 7476351317134132375455064, frequency: 1), (genotype: 7007543066715164605540267, frequency: 1)],89,461538,0,000000,0,461538
7,13,48,87,[(genotype: 7525115221765551015457445, frequency: 1), (genotype: 7476351317134132375455064, frequency: 1), (genotype: 7007543066715164605540267, frequency: 1)],93,076923,0,000000,0,461538
8,14,53,88,[(genotype: 7525115221765551015457445, frequency: 1), (genotype: 7476351317134132375455064, frequency: 1), (genotype: 7007543066716076626653300, frequency: 1)],87,857143,0,000000,0,571429
9,14,54,89,[(genotype: 7525115221765551015457445, frequency: 1), (genotype: 7476351317134132375455064, frequency: 1), (genotype: 7007543066716076626653300, frequency: 1)],91,928571,4,000000,0,714286
10,14,60,88,[(genotype: 7525115221765551015457445, frequency: 1), (genotype: 7476351317134132375455064, frequency: 1), (genotype: 7007543066716076626653300, frequency: 1)],76,928571,4,000000,0,714286
11,12,60,90,[(genotype: 7525115221765551015457445, frequency: 1), (genotype: 7476351317134132375455064, frequency: 1), (genotype: 7007543066716076626653300, frequency: 1)],92,916667,8,333333,0,750000
12,12,57,89,[(genotype: 7525115221765551015457445, frequency: 1), (genotype: 7476351317134132375455064, frequency: 1), (genotype: 7007543066716076626653300, frequency: 1)],83,750000,8,333333,0,750000
13,11,50,90,[(genotype: 7525115221765551015457445, frequency: 1), (genotype: 7476351317134132375455064, frequency: 1), (genotype: 7007543066716076626653300, frequency: 1)],92,181818,9,500000,0,818182
14,11,40,89,[(genotype: 7525115221765551015457445, frequency: 1), (genotype: 7476351317134132375455064, frequency: 1), (genotype: 7007543066716076626653300, frequency: 1)],71,454545,9,500000,0,818182
15,9,31,92,[(genotype: 7525115221765551015457445, frequency: 1), (genotype: 7476351317134132375455064, frequency: 1), (genotype: 7007543066716076626653300, frequency: 1)],74,666667,11,333333,0,888889
16,7,25,94,[(genotype: 7525115221765551015457445, frequency: 1), (genotype: 7476351317134132375455064, frequency: 1), (genotype: 7007543066716076626653300, frequency: 1)],79,000000,11,875000,0,857143
17,5,22,95,[(genotype: 7525115221765551015457445, frequency: 1), (genotype: 7476351317134132375455064, frequency: 1), (genotype: 7007543066716076626653300, frequency: 1)],109,600000,12,000000,1,000000
18,6,24,97,[(genotype: 7525115221765551015457445, frequency: 1), (genotype: 7476351317135436032712754, frequency: 1), (genotype: 7476351317134132375455064, frequency: 1)],90,500000,12,000000,1,166667
19,5,23,95,[(genotype: 7525115221765551015457445, frequency: 1), (genotype: 7476351317135436032712754, frequency: 1), (genotype: 7476351317134132375455064, frequency: 1)],107,600000,11,909091,1,400000
20,5,22,95,[(genotype: 7525115221765551015457445, frequency: 1), (genotype: 7476351317135436032712754, frequency: 1), (genotype: 7476351317134132375455064, frequency: 1)],83,600000,11,909091,1,400000
21,4,25,96,[(genotype: 7525115221765551015457445, frequency: 1), (genotype: 7476351317135436032712754, frequency: 1), (genotype: 5560174714706076626653300, frequency: 1)],103,500000,12,666667,1,500000
22,4,27,96,[(genotype: 7525115221765551015457445, frequency: 1), (genotype: 7476351317135436032712754, frequency: 1), (genotype: 5560174714706076626653300, frequency: 1)],102,500000,12,666667,1,500000
23,4,31,96,[(genotype: 7525115221765551015457445, frequency: 1), (genotype: 7476351317135436032712754, frequency: 1), (genotype: 5560174714706076626653300, frequency: 1)],101,500000,12,666667,1,500000
24,4,34,96,[(genotype: 7525115221765551015457445, frequency: 1), (genotype: 7476351317135436032712754, frequency: 1), (genotype: 5560174714706076626653300, frequency: 1)],100,500000,12,666667,1,500000
25,4,35,96,[(genotype: 7525115221765551015457445, frequency: 1), (genotype: 7476351317135436032712754, frequency: 1), (genotype: 5560174714706076626653300, frequency: 1)],102,000000,12,666667,1,500000
26,4,32,96,[(genotype: 7525115221765551015457445, frequency: 1), (genotype: 7476351317135436032712754, frequency: 1), (genotype: 5560174714706076626653300, frequency: 1)],101,000000,12,666667,1,500000
27,4,28,96,[(genotype: 7525115221765551015457445, frequency: 1), (genotype: 7476351317135436032712754, frequency: 1), (genotype: 5560174714706076626653300, frequency: 1)],100,000000,12,666667,1,500000
28,4,25,96,[(genotype: 7525115221765551015457445, frequency: 1), (genotype: 7476351317135436032712754, frequency: 1), (genotype: 5560174714706076626653300, frequency: 1)],106,500000,12,666667,1,500000
